id;parent;weight;exercise;type;featured;otherPs;predPs;followPs;similarPs;alternativePs;evaluation;grade;class;topic;examples;url;specs;created;visible;ordering
169;26;1;3;basic;0;;383;170;170,181,171,172,173,182,183,184,384,387,389,391,393,395,397,257,512,992;;medalBased;1;4;;;diktat-vyjmenovana-slova-po-b-1-uroven;;0000-00-00 00:00:00;1;0
170;26;1;3;basic;0;;384,169;;169,181,171,172,173,182,183,184,325,513;;medalBased;2;5;;;diktat-vyjmenovana-slova-po-b-2-uroven;;0000-00-00 00:00:00;1;0
171;28;1;3;basic;0;;388;172;172,169,170,181,173,182,183,184,384,387,389,391,393,395,397,257,512,992;;medalBased;1;4;;;diktat-vyjmenovana-slova-po-m-1-uroven;;0000-00-00 00:00:00;1;0
172;28;1;3;basic;0;;389,171;;171,169,170,181,173,182,183,184,325,513;;medalBased;2;5;;;diktat-vyjmenovana-slova-po-m-2-uroven;;0000-00-00 00:00:00;1;0
173;29;1;3;basic;0;;391;;169,170,181,171,172,182,183,184,325,513;;medalBased;2;5;;;diktat-vyjmenovana-slova-po-p-2-uroven;;0000-00-00 00:00:00;1;0
174;39;1;3;basic;0;;411;175;175,198,176,186,274,275,276,272,407,277,323,408,409,411,279,972,602;411;medalBased;2;6;;;diktat-shoda-podmetu-s-prisudkem-2-uroven;;0000-00-00 00:00:00;1;0
175;39;1;3;basic;0;;412,174;;174,412,400,403,973,974,603;412;medalBased;3;8;;;diktat-shoda-podmetu-s-prisudkem-3-uroven;;0000-00-00 00:00:00;1;0
176;150;1;3;basic;0;;973;;186,198,174,274,275,276,272,407,277,323,408,409,411,279,972,602;;medalBased;2;6;Koncovky přídavných jmen;;diktat-koncovky-pridavnych-jmen-i-y-2-uroven;;0000-00-00 00:00:00;1;0
177;44;1;3;basic;0;;419;;322,419,421,430,418,1149;322,419;medalBased;2;6;;;diktat-souhlaskova-skupina-nn-n-2-uroven;;0000-00-00 00:00:00;1;0
178;153;1;3;basic;0;;604;;185,415,413,414,647,321,416,417,260,604,616,648;;medalBased;2;6;Psaní mě/mně;;diktat-psani-me-a-mne-2-uroven;;0000-00-00 00:00:00;1;2
179;47;1;3;basic;0;;424;180;180,196,326,424,1037,429,423,426,262,606,607;326,424;medalBased;2;6;;;diktat-psani-predpony-s-z-vz-2-uroven;;0000-00-00 00:00:00;1;0
180;47;1;3;basic;0;;425,179;;179,282,607,326,424,425,1037,429,608;;medalBased;3;8;;;diktat-psani-predpony-s-z-vz-3-uroven;;0000-00-00 00:00:00;1;0
181;27;1;3;basic;0;;387;;169,170,171,172,173,182,183,184,325,513;;medalBased;2;5;;;diktat-vyjmenovana-slova-po-l-2-uroven;;0000-00-00 00:00:00;1;0
182;30;1;3;basic;0;;393;;169,170,181,171,172,173,183,184,325,513;;medalBased;2;5;;;diktat-vyjmenovana-slova-po-s-2-uroven;;0000-00-00 00:00:00;1;0
183;31;1;3;basic;0;;395;;169,170,181,171,172,173,182,184,325,513;325;medalBased;2;5;;;diktat-vyjmenovana-slova-po-v-2-uroven;;0000-00-00 00:00:00;1;0
184;32;1;3;basic;0;;397;;169,170,181,171,172,173,182,183,325,513;;medalBased;2;5;;;diktat-vyjmenovana-slova-po-z-2-uroven;;0000-00-00 00:00:00;1;0
185;42;1;3;basic;0;;416;;178,413,321,416,417,260,616;416;medalBased;1;5;;;diktat-be-bje-ve-vje-pe-me-mne-1-uroven;;0000-00-00 00:00:00;1;1
186;150;1;3;basic;0;;973;;176,198,174,274,275,276,272,407,277,323,408,409,411,279,972,602;;medalBased;2;6;Koncovky podstatných jmen;;diktat-koncovky-podstatnych-jmen-i-y-2-uroven;;0000-00-00 00:00:00;1;0
187;142;1;3;basic;0;;;188;;;medalBased;1;4;Různé výskyty I/Y;;diktat-ruzne-vyskyty-i-y-1-uroven;;0000-00-00 00:00:00;1;0
188;142;1;3;basic;1;;187;;;;medalBased;2;8;Různé výskyty I/Y;;diktat-ruzne-vyskyty-i-y-2-uroven;;0000-00-00 00:00:00;1;0
189;151;1;3;basic;0;;1141;190;190,448,296,1035,1141;;medalBased;1;4;;;diktat-velka-pismena-vlastni-jmena-1-uroven;;0000-00-00 00:00:00;1;0
190;151;1;3;basic;0;;611,189;191;189,296,1035,1141,449,1036,259;;medalBased;2;6;;;diktat-velka-pismena-vlastni-jmena-2-uroven;;0000-00-00 00:00:00;1;0
191;151;1;3;basic;0;;612,190;;450,452,453,455,612,294,298;612;medalBased;3;10;;;diktat-velka-pismena-vlastni-jmena-3-uroven;;0000-00-00 00:00:00;1;0
192;61;1;3;basic;0;;446;193;446;;medalBased;2;7;;;diktat-sprezky-2-uroven;;0000-00-00 00:00:00;0;0
193;61;1;3;basic;0;;447;;447,446;447;medalBased;3;10;;;diktat-sprezky-3-uroven;;0000-00-00 00:00:00;1;0
194;157;1;3;basic;0;;726;;434,436,726,435,437,727;;medalBased;2;8;;;diktat-prejata-slova-2-uroven;;0000-00-00 00:00:00;1;0
195;156;1;3;basic;0;;;;432;;medalBased;2;5;;;diktat-delka-samohlasek-2-uroven;;0000-00-00 00:00:00;1;0
196;155;1;3;basic;0;;606;;179,326,424,1037,429,423,426,262,606,607;;medalBased;1;6;;;diktat-souhlasky-parove-1-uroven;;0000-00-00 00:00:00;1;0
197;220;1;3;basic;0;;609;;247,315,617,700,263,1121;;medalBased;2;6;Skloňování a časování;;diktaty-slovni-druhy-mix-2;;0000-00-00 00:00:00;1;0
198;37;1;3;basic;0;;408;;174,176,186,274,275,276,272,407,277,323,408,409,411,279,972,602;323,408;medalBased;2;6;;;diktat-koncovky-ovi-ovy-2-uroven;;0000-00-00 00:00:00;1;0
199;141;1;3;basic;0;;;;200,201,202,1128,1129,653,957,1074;;medalBased;2;5;Příběh: Příliš mnoho dobrodružství;;diktat-pribeh-prilis-mnoho-dobrodruzstvi-2-uroven;;0000-00-00 00:00:00;1;1
200;141;1;3;basic;0;;;;199,201,202,1131,256,654,690,1168,1171;;medalBased;2;6;Příběh: Morbidní story s příchutí šlehačky;;diktat-pribeh-morbidni-story-s-prichuti-slehacky-2-uroven;;0000-00-00 00:00:00;1;2
201;141;1;3;basic;0;;;;199,200,202,1128,1129,653,957,1074;;medalBased;2;5;Příběh: Výprava k prameni potoka;;diktat-pribeh-vyprava-k-prameni-potoka-2-uroven;;0000-00-00 00:00:00;1;3
