id;parent;weight;exercise;type;featured;otherPs;predPs;followPs;similarPs;alternativePs;evaluation;grade;class;topic;examples;url;specs;created;visible;ordering
1;2;1;26;basic;1;;;144,160,86;160,66,88,2,3,87,17,14,161,86,146,72,73,74,78,79,80,151,52,7,18,11,12,33,105,155,19,20,21,23,29,30,67,112,10,106,147,50;18;medalBased;1;10;;[[["text","Jak zapisujeme v Pythonu operaci násobení?"]],[["text","Která z možností je vhodnější jméno proměnné pro počet hráčů?"]],[["text","Který z následujících výrazů má vyšší hodnotu?"]]];rozhodovacka-promenne-vyrazy;;0000-00-00 00:00:00;1;0
2;4;1;26;basic;0;;;87;66,3,16,87,31,146,72,73,74,52,11,12,33,105,155,51,148;52;medalBased;1;10;;[[["text","Co vypíše program?"],["python64","YSA9IDAKZm9yIGkgaW4gcmFuZ2UoNSk6CiAgICBhID0gYSArIGkKcHJpbnQoYSkK"]],[["text","Co vypíše program?"],["python64","Zm9yIGkgaW4gcmFuZ2UoMiwgNSk6CiAgICBwcmludChpKQo="]],[["text","Co vypíše program?"],["python64","Zm9yIGkgaW4gcmFuZ2UoMyk6CiAgICBmb3IgaiBpbiByYW5nZSgyKToKICAgICAgICBwcmludCgnWCcpCg=="]]];rozhodovacka-cyklus-for;;0000-00-00 00:00:00;1;0
3;5;1;26;basic;0;;;87;66,2,16,87,31,146,72,73,74,52,11,12,33,105,155,51,148;;medalBased;1;10;;[[["text","Co vypíše program?"],["python64","aSA9IDEKd2hpbGUgaSA8IDU6CiAgICBpID0gaSArIDEKICAgIHByaW50KGkpCg=="]],[["text","Co vypíše program?"],["python64","aSA9IDUwCndoaWxlIGkgPiAwOgogICAgcHJpbnQoaSkKICAgIGkgPSBpIC0gMTAK"]],[["text","While cyklus (na rozdíl od for cyklu) používáme typicky v případě, kdy počet opakování cyklu dopředu:"]]];rozhodovacka-cyklus-while;;0000-00-00 00:00:00;1;0
4;6;1;34;basic;1;;28;;256,653,654,681,686,689,690,952,957,992,993,1074,1126,1127,1128,1129,1131,1159,1168,1171,1465,1895,1898,1909,1914,1915,2078,2081,2082,2084,2202,2503,2795,2807,468,538,545,546,573,574,599,600,961,963,964,1010,1016,1017,1022,1023,1025,1052,1053,1054,1055,1056,1392,1457,28,42,43,44,46,62,122,128,130,135,136,140,143,158;;medalBased;1;5;Lehké;;robotanik-lehke;;0000-00-00 00:00:00;1;0
5;6;1;34;basic;0;;28;;44,46,47,53,56,65,69,76,108,121,122,128,136,140,143;;medalBased;1;7;Středně těžké;;robotanik-stredni;;0000-00-00 00:00:00;1;0
6;6;1;34;basic;0;;28;;7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,53,59,60,61,63,65,67,72,73,74,76,77,78,79,80,105,106,107,108,111,112,115,116,117,119,138,141,145,146,153;;medalBased;1;9;Těžké;;robotanik-tezke;;0000-00-00 00:00:00;1;0
7;6;1;34;basic;0;;28;;6,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,138,141,145,146,153;;medalBased;1;10;Opravdová výzva;;robotanik-opravdova-vyzva;;0000-00-00 00:00:00;1;0
9;15;1;35;basic;0;;10;;6,7,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,138,141,145,146,153;;medalBased;1;10;;;interaktivni-python-seznamy;;0000-00-00 00:00:00;1;9
10;14;1;35;basic;0;;11;9;6,7,9,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,138,141,145,146,153;;medalBased;1;10;;;interaktivni-python-retezce;;0000-00-00 00:00:00;1;8
11;12;1;35;basic;0;;12;10;6,7,9,10,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,138,141,145,146,153;;medalBased;1;10;Textové obrázky;;interaktivni-python-vnorene-cykly;;0000-00-00 00:00:00;1;7
12;17;1;35;basic;0;;33;11;6,7,9,10,11,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,138,141,145,146,153;;medalBased;1;10;Počítání s čísly;;interaktivni-python-rizeni-vypoctu;;0000-00-00 00:00:00;1;6
13;15;1;26;basic;0;;;15,88;15,17,32,66,88,149,10,106,147,9,107,150,145,152,146,151;9,107;medalBased;1;10;;[[["text","Může se délka seznamu měnit?"]],[["text","Kterým z následujících příkazů zjistíme velikost seznamu mylist?"]],[["text","Jaký je význam následujícího příkazu?"],["python64","bXlsaXN0LmFwcGVuZCg2KQo="]]];rozhodovacka-seznamy-1-uroven;;0000-00-00 00:00:00;1;0
14;18;1;26;basic;0;;;161,86;161,66,88,2,3,1,160,87,17,86,146,72,73,74,78,79,80,151,52,7,18,11,12,33,105,155,19,20,21,23,29,30,67,112,10,106,147,50;50;medalBased;1;10;;[[["text","Která logická spojka má při vyhodnocování větší prioritu?"]],[["html","Je výraz <code>true or false</code> pravdivý?"]],[["html","Jak lze zjednodušit výraz <code>not (x > y)</code> ?"]]];rozhodovacka-logicke-1-uroven;;0000-00-00 00:00:00;1;0
15;15;1;26;basic;0;;13;150;13,17,32,66,88,149,10,106,147,9,107,150,145,152,146,151;150;medalBased;2;10;;[[["text","Co vypíše program?"],["python64","bXlsaXN0ID0gWyd4JywgJ2EnLCAnYycsICdlJywgJ3knXQpwcmludChteWxpc3RbMTozXSkK"]],[["text","Jaký příkaz musíme doplnit v následujícím programu místo XXX, aby program vypsal seřazený seznam?"],["python64","bXlsaXN0ID0gWzYsIDgsIDMsIDJdClhYWApwcmludChteWxpc3QpCg=="]],[["text","Co vypíše program?"],["python64","bXlsaXN0ID0gWzQsIDIsIDgsIDFdCnByaW50KDggaW4gbXlsaXN0KQo="]]];rozhodovacka-seznamy-2-uroven;;0000-00-00 00:00:00;1;0
16;16;1;26;basic;0;;;87;66,2,3,87,31,146,72,73,74,52,11,12,33,105,155,51,148;;medalBased;1;10;;[[["text","Co vypíše program?"],["python64","ZGVmIHRlc3QoKToKICAgIHByaW50KCJqZWRuYSIpCiAgICByZXR1cm4gMAogICAgcHJpbnQoImR2YSIpCgp0ZXN0KCkK"]],[["text","Co vypíše program?"],["python64","ZGVmIGluY3JlYXNlKHgpOgogICAgcmV0dXJuIHggKyAxCgpkZWYgZGVjcmVhc2UoeCk6CiAgICByZXR1cm4geCAtIDEKCmEgPSA4CnByaW50KGluY3JlYXNlKGRlY3JlYXNlKGEpKSkK"]],[["text","Co vypíše program?"],["python64","ZGVmIHRlc3QoeCk6CiAgICBwcmludCh4KQoKdGVzdCgzKSAgICAK"]]];rozhodovacka-funkce-1-uroven;;0000-00-00 00:00:00;1;0
17;14;1;26;basic;0;;;147,88;13,15,32,66,88,149,10,106,147,9,107,150,145,152,146,151;10,106,147;medalBased;1;10;;[[["text","Co vypíše program?"],["python64","dGV4dCA9ICJoYWRpY2UiCnByaW50KHRleHRbM10pCg=="]],[["text","Jakým způsobem vypíšeme text převedený na velká písmena?"]],[["text","Co vypíše program?"],["python64","dGV4dCA9ICJPc3RyYXZhIgp0ZXh0ID0gdGV4dC5sb3dlcigpCnByaW50KHRleHQpCg=="]]];rozhodovacka-retezce-1-uroven;;0000-00-00 00:00:00;1;0
18;2;1;35;basic;0;;;50;6,7,9,10,11,12,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,138,141,145,146,153;;medalBased;1;10;;;interaktivni-python-promenne-vyrazy;;0000-00-00 00:00:00;1;1
19;21;1;36;basic;0;;30;67;6,7,9,10,11,12,18,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,138,141,145,146,153;;medalBased;1;10;Binární čísla;;binarni-krizovka-binarni-cisla;;0000-00-00 00:00:00;1;2
20;21;1;36;basic;0;;67;21;6,7,9,10,11,12,18,19,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,138,141,145,146,153;;medalBased;1;10;Křížovky: středně těžké;;binarni-krizovka-stredne-tezke;;0000-00-00 00:00:00;1;4
21;21;1;36;basic;0;;20;23;6,7,9,10,11,12,18,19,20,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,138,141,145,146,153;;medalBased;1;10;Křížovky: těžké;;binarni-krizovka-tezke;;0000-00-00 00:00:00;1;6
23;21;1;36;basic;0;;21;;6,7,9,10,11,12,18,19,20,21,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,138,141,145,146,153;;medalBased;1;10;Křížovky: opravdová výzva;;binarni-krizovka-opravdova-vyzva;;0000-00-00 00:00:00;1;10
28;6;1;34;basic;1;;;4;4,42,43,44,46,62,122,128,130,135,136,140,143;;medalBased;1;5;Trénink;;robotanik-trenink;;0000-00-00 00:00:00;1;-1
29;21;1;36;basic;1;;;30;6,7,9,10,11,12,18,19,20,21,23,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,138,141,145,146,153;;medalBased;1;10;Trénink;;binarni-krizovka-trenink;;0000-00-00 00:00:00;1;-1
30;21;1;36;basic;0;;29;19;6,7,9,10,11,12,18,19,20,21,23,29,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119,138,141,145,146,153;;medalBased;1;10;Logické výrazy;;binarni-krizovka-logicke;;0000-00-00 00:00:00;1;1
31;23;1;26;basic;0;;;148,87;66,2,3,16,87,146,72,73,74,52,11,12,33,105,155,51,148;51,148;medalBased;1;10;;[[["text","Kolik jmen vypíše tento program?"],["python64","YSA9IDQKaWYgYSA8IDI6CiAgICBwcmludCgiUGV0ciIpCmVsc2U6CiAgICBwcmludCgiUGF2ZWwiKQppZiBhIDwgMTA6CiAgICBwcmludCgiSmFuYSIpCmVsc2U6CiAgICBwcmludCgiTWFydGluYSIpCg=="]],[["text","Co vypíše program?"],["python64","YSA9IDUKYiA9IDMKaWYgYSA8IDQ6CiAgICBiID0gYiArIDEKZWxzZToKICAgIGIgPSBiIC0gMQpwcmludChhLCBiKQo="]],[["text","Co vypíše program?"],["python64","dCA9ICJwZXMiCmlmIHQgPT0gInByYXNlIjoKICAgIHByaW50KCJjaHJvY2h0YSIpCmVsc2U6CiAgICBwcmludCgic3Rla2EiKQo="]]];rozhodovacka-podmineny-prikaz-1-uroven;;0000-00-00 00:00:00;1;0
